entry_time,exit_time,direction,entry,exit,sl,tp,lot,entry_rsi,entry_atr,spread,exit_reason,gross_pnl,commission,net_pnl,balance,session_hour,trading_day
2025-05-01 19:13:00+05:30,2025-05-01 19:31:00+05:30,SELL,3222.73,3225.8655219982647,3225.8655219982647,3219.5944780017353,5.0,68.13503390169015,1.5677609991323942,0.08,SL,-15.677609991323607,0.0,-15.677609991323607,25006.5963986078,19,2025-05-01
2025-05-06 20:07:00+05:30,2025-05-06 20:21:00+05:30,BUY,3376.71,3380.4530477630565,3372.9669522369436,3380.4530477630565,5.0,32.31110740290069,1.8715238815281148,0.08,TP,18.71523881528219,0.0,18.71523881528219,25025.31163742308,20,2025-05-06
2025-05-08 16:10:00+05:30,2025-05-08 16:21:00+05:30,SELL,3347.07,3341.878769717909,3352.261230282091,3341.878769717909,5.0,72.69644130663853,2.595615141045581,0.08,TP,25.956151410455277,0.0,25.956151410455277,25051.26778883354,16,2025-05-08
2025-05-12 14:32:00+05:30,2025-05-12 14:55:00+05:30,SELL,3278.39,3274.9228986322764,3281.8571013677233,3274.9228986322764,5.0,67.98095462534931,1.7335506838617474,0.22,TP,17.33550683861722,0.0,17.33550683861722,25068.603295672154,14,2025-05-12
2025-05-20 20:51:00+05:30,2025-05-20 20:53:00+05:30,BUY,3235.62,3237.797108238101,3233.442891761899,3237.797108238101,5.0,33.60798810938935,1.0885541190506154,0.08,TP,10.885541190505137,0.0,10.885541190505137,25079.48883686266,20,2025-05-20
2025-05-22 20:22:00+05:30,2025-05-22 20:24:00+05:30,SELL,3303.19,3306.8573263058297,3306.8573263058297,3299.5226736941704,5.0,69.53502958724148,1.833663152914915,0.14,SL,-18.336631529148235,0.0,-18.336631529148235,25061.15220533351,20,2025-05-22
2025-05-23 16:34:00+05:30,2025-05-23 16:35:00+05:30,BUY,3326.38,3328.9886490543527,3323.7713509456476,3328.9886490543527,5.0,30.646584632570118,1.3043245271762112,0.13,TP,13.043245271762771,0.0,13.043245271762771,25074.19545060527,16,2025-05-23
2025-05-27 20:51:00+05:30,2025-05-27 20:55:00+05:30,SELL,3295.39,3297.5966657045037,3297.5966657045037,3293.183334295496,5.0,71.46187470080973,1.1033328522519477,0.08,SL,-11.033328522519241,0.0,-11.033328522519241,25063.16212208275,20,2025-05-27
2025-06-02 21:27:00+05:30,2025-06-02 21:32:00+05:30,BUY,3356.39,3353.440446207908,3353.440446207908,3359.339553792092,5.0,32.10563631409712,1.4747768960460408,0.08,SL,-14.747768960460235,0.0,-14.747768960460235,25048.41435312229,21,2025-06-02
2025-06-02 21:38:00+05:30,2025-06-02 21:58:00+05:30,BUY,3354.67,3357.919339688417,3351.420660311583,3357.919339688417,5.0,33.223285089373746,1.6246698442083751,0.07,TP,16.246698442084835,0.0,16.246698442084835,25064.661051564377,21,2025-06-02
2025-06-06 14:04:00+05:30,2025-06-06 14:13:00+05:30,BUY,3368.2,3365.660480443581,3365.660480443581,3370.7395195564186,5.0,27.513545180315408,1.2697597782094754,0.08,SL,-12.697597782093908,0.0,-12.697597782093908,25051.963453782282,14,2025-06-06
2025-06-10 20:30:00+05:30,2025-06-10 20:36:00+05:30,BUY,3333.9,3330.9616112480526,3330.9616112480526,3336.8383887519476,5.0,34.894353213076286,1.469194375973803,0.08,SL,-14.691943759737569,0.0,-14.691943759737569,25037.271510022543,20,2025-06-10
2025-06-12 12:42:00+05:30,2025-06-12 13:12:00+05:30,BUY,3371.11,3373.140754880051,3369.079245119949,3373.140754880051,5.0,39.406202088495746,1.0153774400254627,0.1,TP,10.153774400255315,0.0,10.153774400255315,25047.4252844228,12,2025-06-12
2025-06-18 19:08:00+05:30,2025-06-18 19:13:00+05:30,SELL,3381.91,3379.3228806524457,3384.497119347554,3379.3228806524457,5.0,69.16682442192909,1.2935596737771053,0.12,TP,12.935596737770538,0.0,12.935596737770538,25060.36088116057,19,2025-06-18
2025-06-20 15:38:00+05:30,2025-06-20 15:41:00+05:30,SELL,3350.74,3353.9001054860946,3353.9001054860946,3347.579894513905,5.0,71.54559587646565,1.5800527430475229,0.12,SL,-15.800527430474176,0.0,-15.800527430474176,25044.560353730096,15,2025-06-20
2025-07-09 20:40:00+05:30,2025-07-09 20:46:00+05:30,SELL,3290.17,3292.908990457877,3292.908990457877,3287.4310095421233,5.0,67.87316819808134,1.3694952289383628,0.1,SL,-13.694952289383764,0.0,-13.694952289383764,25030.86540144071,20,2025-07-09
2025-07-11 15:21:00+05:30,2025-07-11 15:25:00+05:30,BUY,3335.83,3332.985168146343,3332.985168146343,3338.674831853657,5.0,32.29024716323634,1.422415926828538,0.16,SL,-14.224159268285348,0.0,-14.224159268285348,25016.641242172427,15,2025-07-11
2025-07-17 15:27:00+05:30,2025-07-17 15:35:00+05:30,SELL,3335.15,3332.647501552904,3337.652498447096,3332.647501552904,5.0,70.24963776740186,1.251249223548109,0.1,TP,12.512492235480295,0.0,12.512492235480295,25029.153734407908,15,2025-07-17
2025-08-05 20:57:00+05:30,2025-08-05 21:00:00+05:30,SELL,3359.0,3361.77450257202,3361.77450257202,3356.22549742798,5.0,72.3581970517895,1.387251286010146,0.11,SL,-13.872512860100414,0.0,-13.872512860100414,25015.281221547808,20,2025-08-05
2025-08-08 13:30:00+05:30,2025-08-08 13:58:00+05:30,BUY,3394.39,3392.323017064353,3392.323017064353,3396.456982935647,5.0,28.079954830428587,1.0334914678234615,0.1,SL,-10.334914678235236,0.0,-10.334914678235236,25004.946306869573,13,2025-08-08
2025-08-18 14:09:00+05:30,2025-08-18 14:27:00+05:30,BUY,3348.12,3350.1884043522155,3346.0515956477843,3350.1884043522155,5.0,20.532686810770016,1.0342021761077023,0.12,TP,10.34202176107783,0.0,10.34202176107783,25015.28832863065,14,2025-08-18
2025-09-01 15:37:00+05:30,2025-09-01 15:46:00+05:30,BUY,3477.16,3473.957961651743,3473.957961651743,3480.3620383482566,5.0,27.892174013014436,1.6010191741284203,0.1,SL,-16.01019174128396,0.0,-16.01019174128396,24999.278136889367,15,2025-09-01
2025-09-10 14:10:00+05:30,2025-09-10 14:20:00+05:30,BUY,3641.19,3643.2700182134854,3639.1099817865147,3643.2700182134854,5.0,38.06087543307485,1.0400091067427784,0.12,TP,10.400091067426729,0.0,10.400091067426729,25009.678227956792,14,2025-09-10
2025-09-15 16:09:00+05:30,2025-09-15 16:21:00+05:30,SELL,3640.45,3642.5880085025824,3642.5880085025824,3638.3119914974172,5.0,71.79359371005415,1.0690042512912548,0.1,SL,-10.690042512912896,0.0,-10.690042512912896,24998.98818544388,16,2025-09-15
2025-09-16 16:09:00+05:30,2025-09-16 16:29:00+05:30,BUY,3688.35,3686.1175108975654,3686.1175108975654,3690.5824891024345,5.0,31.380225294768312,1.1162445512172365,0.1,SL,-11.16244551217278,0.0,-11.16244551217278,24987.825739931708,16,2025-09-16
2025-09-18 18:50:00+05:30,2025-09-18 18:52:00+05:30,BUY,3665.98,3668.1954629242487,3663.7645370757514,3668.1954629242487,5.0,27.207649270216944,1.1077314621242826,0.1,TP,11.077314621243204,0.0,11.077314621243204,24998.903054552953,18,2025-09-18
2025-10-15 12:58:00+05:30,2025-10-15 13:33:00+05:30,BUY,4176.35,4180.302978664,4172.397021336001,4180.302978664,5.0,27.62852489574261,1.9764893319999666,0.26,TP,19.76489331999801,0.0,19.76489331999801,25018.66794787295,12,2025-10-15
2025-10-16 12:11:00+05:30,2025-10-16 12:35:00+05:30,BUY,4231.63,4235.834975120464,4227.425024879536,4235.834975120464,5.0,34.1018234865583,2.102487560232049,0.26,TP,21.024875602320208,0.0,21.024875602320208,25039.69282347527,12,2025-10-16
2025-10-27 13:28:00+05:30,2025-10-27 13:41:00+05:30,SELL,4068.97,4073.4555175460137,4073.4555175460137,4064.484482453986,5.0,70.6740130641405,2.2427587730070333,0.34,SL,-22.427587730069263,0.0,-22.427587730069263,25017.265235745203,13,2025-10-27
2025-10-28 19:14:00+05:30,2025-10-28 19:22:00+05:30,SELL,3917.11,3923.8275985856185,3923.8275985856185,3910.3924014143818,5.0,64.92630459914606,3.358799292809189,0.32,SL,-33.58799292809181,0.0,-33.58799292809181,24983.67724281711,19,2025-10-28
2025-10-30 13:59:00+05:30,2025-10-30 14:10:00+05:30,BUY,3952.88,3960.2321633314773,3945.527836668523,3960.2321633314773,5.0,29.382960268557607,3.6760816657386486,0.26,TP,36.76081665738593,0.0,36.76081665738593,25020.438059474494,13,2025-10-30
2025-10-30 18:54:00+05:30,2025-10-30 19:04:00+05:30,BUY,3986.32,3981.072048843828,3981.072048843828,3991.5679511561725,5.0,29.41566675672449,2.6239755780860734,0.11,SL,-26.239755780861742,0.0,-26.239755780861742,24994.198303693633,18,2025-10-30
2025-10-31 13:20:00+05:30,2025-10-31 13:22:00+05:30,SELL,4005.18,4009.169148192802,4009.169148192802,4001.1908518071978,5.0,69.1711238929322,1.994574096401056,0.12,SL,-19.945740964010383,0.0,-19.945740964010383,24974.252562729624,13,2025-10-31
2025-11-05 13:22:00+05:30,2025-11-05 13:39:00+05:30,BUY,3964.82,3968.751818110606,3960.888181889394,3968.751818110606,5.0,30.814968047314988,1.9659090553029455,0.15,TP,19.659090553029728,0.0,19.659090553029728,24993.911653282652,13,2025-11-05
2025-11-12 13:57:00+05:30,2025-11-12 14:05:00+05:30,SELL,4113.18,4116.8285542943395,4116.8285542943395,4109.531445705661,5.0,66.78656264211172,1.824277147169806,0.15,SL,-18.24277147169596,0.0,-18.24277147169596,24975.668881810954,13,2025-11-12
2025-11-14 15:23:00+05:30,2025-11-14 15:39:00+05:30,SELL,4180.09,4175.348080170827,4184.831919829173,4175.348080170827,5.0,71.34608610124839,2.3709599145862006,0.15,TP,23.70959914586365,0.0,23.70959914586365,24999.378480956817,15,2025-11-14
2025-11-17 15:56:00+05:30,2025-11-17 16:05:00+05:30,BUY,4080.92,4076.468194718373,4076.468194718373,4085.371805281627,5.0,29.94536733469489,2.2259026408133975,0.15,SL,-22.259026408135014,0.0,-22.259026408135014,24977.119454548683,15,2025-11-17
2025-11-17 16:07:00+05:30,2025-11-17 16:18:00+05:30,BUY,4077.92,4073.3765611196277,4073.3765611196277,4082.4634388803725,5.0,30.521154192432494,2.2717194401861156,0.15,SL,-22.71719440186189,0.0,-22.71719440186189,24954.40226014682,16,2025-11-17
2025-11-17 19:08:00+05:30,2025-11-17 19:12:00+05:30,SELL,4077.48,4082.6442136703613,4082.6442136703613,4072.3157863296387,5.0,67.02593680293066,2.5821068351805287,0.12,SL,-25.82106835180639,0.0,-25.82106835180639,24928.581191795012,19,2025-11-17
2025-11-18 12:53:00+05:30,2025-11-18 12:58:00+05:30,SELL,4020.05,4015.6622308908923,4024.437769109108,4015.6622308908923,5.0,69.22830987245224,2.1938845545539434,0.14,TP,21.938845545539607,0.0,21.938845545539607,24950.520037340553,12,2025-11-18
2025-11-19 14:39:00+05:30,2025-11-19 15:04:00+05:30,BUY,4088.04,4091.2152213003933,4084.8647786996066,4091.2152213003933,5.0,30.273618270840224,1.5876106501967784,0.12,TP,15.87610650196666,0.0,15.87610650196666,24966.39614384252,14,2025-11-19
2025-11-27 12:05:00+05:30,2025-11-27 12:08:00+05:30,SELL,4152.27,4154.245945316742,4154.245945316742,4150.294054683259,5.0,74.94622084548753,0.9879726583707876,0.14,SL,-9.879726583708361,0.0,-9.879726583708361,24956.516417258812,12,2025-11-27
2025-12-01 16:14:00+05:30,2025-12-01 16:18:00+05:30,BUY,4242.71,4238.998907702641,4238.998907702641,4246.421092297359,5.0,30.5656246207958,1.8555461486792382,0.12,SL,-18.55546148679423,0.0,-18.55546148679423,24937.960955772018,16,2025-12-01
2025-12-01 16:19:00+05:30,2025-12-01 16:29:00+05:30,BUY,4240.19,4243.835891615776,4236.544108384223,4243.835891615776,5.0,26.761869475532965,1.8229458078879746,0.12,TP,18.22945807888118,0.0,18.22945807888118,24956.190413850898,16,2025-12-01
2025-12-02 14:53:00+05:30,2025-12-02 15:05:00+05:30,SELL,4218.03,4215.289786208345,4220.770213791655,4215.289786208345,5.0,76.44874830691823,1.3701068958276523,0.12,TP,13.701068958275755,0.0,13.701068958275755,24969.891482809173,14,2025-12-02
2025-12-02 19:10:00+05:30,2025-12-02 19:23:00+05:30,SELL,4198.49,4201.906326508957,4201.906326508957,4195.073673491042,5.0,68.68489897652256,1.7081632544786438,0.12,SL,-17.08163254478677,0.0,-17.08163254478677,24952.809850264384,19,2025-12-02
2025-12-09 14:07:00+05:30,2025-12-09 14:37:00+05:30,SELL,4182.43,4185.397398722045,4185.397398722045,4179.462601277955,5.0,68.2113703715981,1.4836993610223383,0.12,SL,-14.836993610224454,0.0,-14.836993610224454,24937.97285665416,14,2025-12-09
2025-12-15 12:07:00+05:30,2025-12-15 12:13:00+05:30,BUY,4324.13,4326.2799619289135,4321.980038071087,4326.2799619289135,5.0,30.383047844306162,1.074980964456663,0.14,TP,10.749809644566994,0.0,10.749809644566994,24948.722666298727,12,2025-12-15
2025-12-29 20:12:00+05:30,2025-12-29 20:30:00+05:30,SELL,4463.68,4459.986911285825,4467.3730887141755,4459.986911285825,5.0,75.7411174862947,1.84654435708763,0.12,TP,18.465443570876232,0.0,18.465443570876232,24967.188109869603,20,2025-12-29
2025-12-31 14:32:00+05:30,2025-12-31 14:53:00+05:30,SELL,4328.66,4334.877449795539,4334.877449795539,4322.4425502044605,5.0,73.53499287913912,3.1087248977694566,0.12,SL,-31.087248977696618,0.0,-31.087248977696618,24936.100860891907,14,2025-12-31
2026-01-05 13:16:00+05:30,2026-01-05 13:19:00+05:30,BUY,4402.98,4407.034972608989,4398.92502739101,4407.034972608989,5.0,31.72554773214719,2.0274863044947655,0.14,TP,20.27486304494687,0.0,20.27486304494687,24956.375723936853,13,2026-01-05
